sex	gene_id
Female	PF3D7_1435400
Female	PF3D7_1418200
Female	PF3D7_0913600
Female	PF3D7_1214400
Female	PF3D7_0506500
Female	PF3D7_0604000
Female	PF3D7_0618100
Female	PF3D7_1469100
Female	PF3D7_0419500
Female	PF3D7_0921900
Female	PF3D7_1245000
Female	PF3D7_0911200
Female	PF3D7_1235100
Female	PF3D7_1218200
Female	PF3D7_0703300
Female	PF3D7_1355900
Female	PF3D7_1034500
Female	PF3D7_1024500
Female	PF3D7_1005100
Female	PF3D7_1427400
Female	PF3D7_1422700
Female	PF3D7_0406700
Female	PF3D7_0505000
Female	PF3D7_0933300
Female	PF3D7_1308400
Female	PF3D7_1337500
Female	PF3D7_1205900
