gene_id	set_label	score
PF3D7_0307900	rest	8.191093824
PF3D7_0904100	rest	8.18645668
PF3D7_0809700	rest	8.15116764
PF3D7_1473100	rest	8.147776212
PF3D7_1236900	rest	8.145202268
PF3D7_1125100	rest	8.127482873
PF3D7_1346200	rest	8.109641083
PF3D7_1356900	rest	8.109641083
PF3D7_0623500	rest	8.06560767
PF3D7_1344100	rest	8.053057555
PF3D7_0110700	rest	8.019563006
PF3D7_1465800	rest	7.988514472
PF3D7_1431600	rest	7.983544018
PF3D7_1458700	rest	7.836971495
PF3D7_0320700	rest	7.788528036
PF3D7_0813200	rest	7.784678928
PF3D7_0408500	rest	7.782112901
PF3D7_0504600	rest	7.767606128
PF3D7_1226600	rest	7.766582265
PF3D7_1326500	rest	7.765686682
PF3D7_0605900	rest	7.745884089
PF3D7_1215900	rest	7.745884089
PF3D7_0417900	rest	7.678043213
PF3D7_0615700	rest	7.678043213
PF3D7_0910600	rest	7.678043213
PF3D7_1231300	rest	7.678043213
PF3D7_0105300	rest	7.658005164
PF3D7_1474600	rest	7.625947223
PF3D7_1310600	rest	7.601130643
PF3D7_1413900	rest	7.586872145
PF3D7_1142600	rest	7.570503657
PF3D7_1348800	rest	7.560488658
PF3D7_0314100	rest	7.534016447
PF3D7_0608310	rest	7.534016447
PF3D7_0728200	rest	7.534016447
PF3D7_0819500	rest	7.534016447
PF3D7_0829300	rest	7.534016447
PF3D7_1007800	rest	7.534016447
PF3D7_1020100	rest	7.534016447
PF3D7_1114200	rest	7.534016447
PF3D7_1245000	rest	7.534016447
PF3D7_1250600	rest	7.534016447
PF3D7_1303100	rest	7.534016447
PF3D7_1410800	rest	7.534016447
PF3D7_1437800	rest	7.534016447
PF3D7_1446900	rest	7.534016447
PF3D7_1470500	gametocyte	7.534016447
PF3D7_0617300	rest	7.517299052
PF3D7_0708000	rest	7.517299052
PF3D7_1127600	rest	7.50980685
PF3D7_1322300	rest	7.50957169
PF3D7_1422700	rest	7.476041891
PF3D7_0814900	rest	7.472121983
PF3D7_1102500	rest	7.472121983
PF3D7_1320600	rest	7.466718928
PF3D7_1474400	rest	7.449127549
PF3D7_0405700	rest	7.416748174
PF3D7_1477300	gametocyte	7.414132521
PF3D7_1323100	rest	7.413841946
PF3D7_0505700	rest	7.390399989
PF3D7_0410600	rest	7.382639974
PF3D7_0505200	rest	7.38157831
PF3D7_0904500	rest	7.350649182
PF3D7_1021200	rest	7.350649182
PF3D7_1144900	rest	7.336656918
PF3D7_1345300	rest	7.330119909
PF3D7_0303700	rest	7.325111358
PF3D7_0417300	rest	7.298302647
PF3D7_0913300	rest	7.294065654
PF3D7_1426300	rest	7.289477925
PF3D7_0910300	rest	7.270105755
PF3D7_1237400	rest	7.266051278
PF3D7_0912900	rest	7.246470909
PF3D7_0932800	rest	7.242462316
PF3D7_1227500	rest	7.2276197
PF3D7_1218900	rest	7.222982556
PF3D7_0209400	rest	7.222982556
PF3D7_1432100	rest	7.207800631
PF3D7_0213500	rest	7.186093143
PF3D7_1006100	rest	7.186093143
PF3D7_1141600	rest	7.186093143
PF3D7_1310300	rest	7.186093143
PF3D7_1447400	rest	7.186093143
PF3D7_1450300	rest	7.186093143
PF3D7_1319000	rest	7.146752645
PF3D7_0322600	rest	7.145451159
PF3D7_0627700	rest	7.12213274
