Gene ID	source_id	Previous ID(s)	
PF3D7_0110500	PF3D7_0110500.1	Previous IDs: MAL1P2.31;PFA0510w	
PF3D7_0110600	PF3D7_0110600.1	Previous IDs: MAL1P2.32;PFA0515w	
PF3D7_0110700	PF3D7_0110700.1	Previous IDs: MAL1P2.33;PFA0520c	
PF3D7_0110800	PF3D7_0110800.1	Previous IDs: MAL1P2.34;PFA0525w	
PF3D7_0110900	PF3D7_0110900.1	Previous IDs: MAL1P2.35;PFA0530c	
PF3D7_0111000	PF3D7_0111000.1	Previous IDs: MAL1P2.36;PFA0535c	
PF3D7_0111200	PF3D7_0111200.1	Previous IDs: MAL1P2.37;PFA0540c	
PF3D7_0111300	PF3D7_0111300.1	Previous IDs: MAL1P2.38;PFA0545c	
PF3D7_0111400	PF3D7_0111400.1	Previous IDs: MAL1P2.39;PFA0550w	
PF3D7_0111500	PF3D7_0111500.1	Previous IDs: MAL1P2.40;PFA0555c	
PF3D7_0111600	PF3D7_0111600.1	Previous IDs: MAL1P2.41;PFA0560c	
PF3D7_0111700	PF3D7_0111700.1	Previous IDs: MAL1P2.42;PFA0565c	
PF3D7_0111800	PF3D7_0111800.1	Previous IDs: MAL1P2.43;PFA0570w	
PF3D7_0111900	PF3D7_0111900.1	Previous IDs: MAL1P3.01b;PFA0575c	
PF3D7_0112000	PF3D7_0112000.1	Previous IDs: MAL1P3.01;PFA0580c	
PF3D7_0112100	PF3D7_0112100.1	Previous IDs: MAL1P3.02;PFA0585w	
PF3D7_0112200	PF3D7_0112200.1	Previous IDs: MAL1P3.03;PFA0590w	
PF3D7_0112300	PF3D7_0112300.1	Previous IDs: MAL1_18s;MAL1_18s:rRNA	
PF3D7_0112400	PF3D7_0112400.1	Previous IDs: MAL1_ITS1;MAL1_ITS1:rRNA	
PF3D7_0112500	PF3D7_0112500.1	Previous IDs: MAL1_5.8s;MAL1_5.8s:rRNA	
PF3D7_0112600	PF3D7_0112600.1	Previous IDs: MAL1_ITS2;MAL1_ITS2:rRNA	
PF3D7_0112700	PF3D7_0112700.1	Previous IDs: MAL1_28s;MAL1_28s:rRNA	
PF3D7_0112800	PF3D7_0112800.1	Previous IDs: MAL1P3.04;PFA0610c	
PF3D7_0112900	PF3D7_0112900.1	Previous IDs: MAL1P3.05;PFA0615w	
PF3D7_0113000	PF3D7_0113000.1	Previous IDs: MAL1P3.06;PFA0620c	
PF3D7_0113100	PF3D7_0113100.1	Previous IDs: MAL1P3.07;PFA0625w	
PF3D7_0113200	PF3D7_0113200.1	Previous IDs: MAL1P3.08;PFA0630c	
PF3D7_0113300	PF3D7_0113300.1	Previous IDs: MAL1P3.09;PFA0635c	
PF3D7_0113400	PF3D7_0113400.1	Previous IDs: MAL1P3.10;PFA0640c	
PF3D7_0113600	PF3D7_0113600.1	Previous IDs: 3D7surf1.2;MAL1P12a;MAL1P3.12;MAL1P3.12a;PFA0650w;PFA0655;PFA0655w	
PF3D7_0113700	PF3D7_0113700.1	Previous IDs: MAL1P4.10;PFA0660w	
PF3D7_0113800	PF3D7_0113800.1	Previous IDs: MAL1P4.11;PFA0665w	
PF3D7_0113900	PF3D7_0113900.1	Previous IDs: MAL1P4.12;PFA0670c	
PF3D7_0114000	PF3D7_0114000.1	Previous IDs: MAL1P4.13;PFA0675w	
PF3D7_0114100	PF3D7_0114100.1	Previous IDs: MAL1P4.14;PFA0680c	
PF3D7_0114200	PF3D7_0114200.1	Previous IDs: MAL1P4.15;PFA0685c	
PF3D7_0114300	PF3D7_0114300.1	Previous IDs: MAL1P4.16;PFA0690w	
PF3D7_0114400	PF3D7_0114400.1	Previous IDs: MAL1P4.16c;PFA0695c	
