Gene ID	source_id	Product Description	Previous ID(s)	
PF3D7_0732800	PF3D7_0732800.1	erythrocyte membrane protein 1 (PfEMP1), exon 2	Previous IDs: MAL7P1.186;MAL7P1.211;PF07_0137	
PF3D7_0733000	PF3D7_0733000.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL7P1.187;PF07_0139	
PF3D7_0800100	PF3D7_0800100.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL8P1.168;PF08_0142	
PF3D7_0800200	PF3D7_0800200.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL8P1.167;PF08_0141	
PF3D7_0800300	PF3D7_0800300.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL8P1.166;PF08_0140	
PF3D7_0808600	PF3D7_0808600.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL8P1.119;PF08_0107	
PF3D7_0808700	PF3D7_0808700.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL8P1.118;PF08_0106	
PF3D7_0809100	PF3D7_0809100.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PF08_0103	
PF3D7_0833300	PF3D7_0833300.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	Previous IDs: MAL7P1.214	
PF3D7_0833500	PF3D7_0833500.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL7P1.212	
PF3D7_0900100	PF3D7_0900100.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PFI0005w	
PF3D7_0900800	PF3D7_0900800.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	Previous IDs: PFI0040c	
PF3D7_0937600	PF3D7_0937600.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PFI1820w	
PF3D7_0937800	PF3D7_0937800.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PFI1830c	
PF3D7_1000100	PF3D7_1000100.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PF10_0001	
PF3D7_1000900	PF3D7_1000900.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: PF10_0011;PF10_0012	
PF3D7_1035700	PF3D7_1035700.1	duffy binding-like merozoite surface protein	Previous IDs: PF10_0348	
PF3D7_1039400	PF3D7_1039400.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: PF10_0384;PF10_0385;PF10_0387	
PF3D7_1041300	PF3D7_1041300.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 1398.t00021;PF10_0406	
PF3D7_1100100	PF3D7_1100100.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PF11_0007	
PF3D7_1100200	PF3D7_1100200.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PF11_0008	
PF3D7_1101000	PF3D7_1101000.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: PF11_0522	
PF3D7_1101900	PF3D7_1101900.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: PF11_0523	
PF3D7_1150400	PF3D7_1150400.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PF11_0521	
PF3D7_1200100	PF3D7_1200100.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00001;MAL12P1.1;PFL0005w	
PF3D7_1200400	PF3D7_1200400.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00004;MAL12P1.4;PFL0020w	
PF3D7_1200600	PF3D7_1200600.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00006;MAL12P1.6;PFL0030c	
PF3D7_1219300	PF3D7_1219300.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00187;MAL12P1.188;PFL0935c	
PF3D7_1219400	PF3D7_1219400.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: 2277.t00188;PF12_0001;PFL0940c	
PF3D7_1219500	PF3D7_1219500.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	Previous IDs: 2277.t00189;PF12_0002;PFL0945w	
PF3D7_1240200	PF3D7_1240200.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: PFL1947c	
PF3D7_1240300	PF3D7_1240300.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00390;MAL12P1.388;PFL1950w	
PF3D7_1240400	PF3D7_1240400.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00391;MAL12P1.389;PFL1955w	
PF3D7_1240600	PF3D7_1240600.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00392;MAL12P1.390;PFL1960w	
PF3D7_1240900	PF3D7_1240900.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00394;MAL12P1.392;PFL1970w	
PF3D7_1255200	PF3D7_1255200.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: 2277.t00531;MAL12P1.528;PFL2665c	
PF3D7_1300100	PF3D7_1300100.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL13P1.1;PF13_0001	
PF3D7_1300300	PF3D7_1300300.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: PF13_0003	
PF3D7_1300800	PF3D7_1300800.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: MAL13P1.6	
PF3D7_1372900	PF3D7_1372900.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	Previous IDs: MAL13P1.510	
PF3D7_1373500	PF3D7_1373500.1	erythrocyte membrane protein 1, PfEMP1	Previous IDs: MAL13P1.356;PF13_0364	
PF3D7_1400100	PF3D7_1400100.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: PF14_0001	
PF3D7_1401050	PF3D7_1401050.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	N/A	
PF3D7_1480100	PF3D7_1480100.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Previous IDs: PF14_0773	
